"901","1","0100","ST","M","1","0","0",""
"901","1","0200","QA1","M","1","0","0",""
"901","2","0100","QB2","O","1","1",">1","QL1"
"901","3","0100","SE","M","1","0","0",""
"902","1","0100","ST","M","1","0","0",""
"902","1","0200","QA1","O","1","0","0",""
"902","3","0100","SE","M","1","0","0",""
"903","1","0100","ST","M","1","0","0",""
"903","1","0200","QA1","M","1","0","0",""
"903","2","0100","QB2","O","1","1","200","QB2"
"903","2","0200","QA1","O","1","1","0",""
"903","2","0300","TA1","O","1","1",">1","TA1"
"903","2","0400","QB2","O","1","2","20","QB2"
"903","2","0500","QA1","O","1","2","0",""
"903","3","0100","SE","M","1","0","0",""
